t d dw dc
0 0 -0.06442127289 -0.007632329269
0.0005 0.008095127387 0.07793591829 0.000820782027
0.001 0.01616105169 0.03117138066 0.009244856635
0.0015 0.02416873211 -0.07612953008 0.01761043555
0.002 0.03208944918 0.06204234051 0.02588832077
0.0025 0.03989495756 0.0307579569 0.03404970478
0.003 0.04755762969 0.07425882327 0.04206629451
0.0035 0.05505058776 -0.01107435529 0.04991042802
0.004 0.06234782201 0.139366558 0.05755518263
0.0045 0.06942429367 -0.0077620823 0.06497447305
0.005 0.07625602151 0.1183796364 0.07214313876
0.0055 0.08282015147 0.02980375638 0.07903701977
0.006 0.08909500927 0.05662744839 0.08563302049
0.0065 0.09506013658 0.1621374306 0.09190916155
0.007 0.1006963116 0.04557847729 0.0978446198
0.0075 0.105985555 0.06321604921 0.103419757
0.008 0.1109111241 -0.02834541993 0.1086161378
0.0085 0.1154574946 0.08482331314 0.1134165384
0.009 0.1196103347 0.0862039512 0.1178049462
0.0095 0.1233564723 0.1873881572 0.1217665534
0.01 0.1266838562 0.1142135365 0.1252877439
0.0105 0.1295815166 0.1308020083 0.1283560772
0.011 0.1320395234 0.02893870777 0.1309602693
0.0115 0.1340489468 0.04494987091 0.1330901734
0.012 0.1356018206 0.2380530545 0.1347367613
0.0125 0.1366911105 0.07623120686 0.1358921072
0.013 0.1373106886 0.06076639197 0.1365493753
0.0135 0.1374553155 0.1828581312 0.1367028125
0.014 0.1371206311 -0.07346042086 0.1363477472
0.0145 0.1363031547 0.1642601597 0.135480595
0.015 0.1350002958 0.1280570346 0.1340988721
0.0155 0.1332103754 0.1805928267 0.1322012158
0.016 0.1309326578 0.0282111212 0.1297874136
0.0165 0.128167394 0.0953714916 0.1268584398
0.017 0.1249158754 0.09266531096 0.1234164984
0.0175 0.121180497 0.08958736693 0.1194650732
0.018 0.1169648304 0.08614325563 0.1150089823
0.0185 0.112273704 0.08233966433 0.1100544362
0.019 0.1071132893 0.07818436027 0.1046090989
0.0195 0.1014911917 0.07368617669 0.09868214802
0.02 0.09541654282 0.0688549962 0.09228433413
0.0205 0.08890009127 0.06370173149 0.08542803571
0.021 0.08195429028 0.05823830344 0.07812730819
0.0215 0.07459337707 0.05247761668 0.07039792466
0.022 0.06683344147 0.04643353258 0.06225740598
0.0225 0.05869247973 0.04012083991 0.05372503832
0.023 0.05019042991 0.03355522299 0.04482187614
0.0235 0.04134918531 0.02675322756 0.03557072877
0.024 0.03219258269 0.0197322245 0.02599612937
0.0245 0.02274636272 0.01251037124 0.01612428493
