t d dw dc
0 0 0.001012318067 5.223110079e-16
0.0005 0.008095127387 0.006108293555 0.008060352041
0.001 0.01616105169 0.01226879241 0.01609249235
0.0015 0.02416873211 0.01839235509 0.02406833805
0.002 0.03208944918 0.02445871123 0.03196006212
0.0025 0.03989495756 0.03044771181 0.0397402167
0.003 0.04755762969 0.03633938953 0.04738185103
0.0035 0.05505058776 0.04211401843 0.05485862242
0.004 0.06234782201 0.04775217513 0.06214489888
0.0045 0.06942429367 0.05323479801 0.06921585225
0.005 0.07625602151 0.05854324728 0.07604754087
0.0055 0.08282015147 0.06365936287 0.08261698123
0.006 0.08909500927 0.06856552119 0.08890220813
0.0065 0.09506013658 0.0732446905 0.0948823234
0.007 0.1006963116 0.0776804831 0.1005375332
0.0075 0.105985555 0.08185720679 0.1058491745
0.008 0.1109111241 0.08575991176 0.1107997316
0.0085 0.1154574946 0.08937443651 0.1153728432
0.009 0.1196103347 0.09268744973 0.1195533016
0.0095 0.1233564723 0.09568648931 0.1233270455
0.01 0.1266838562 0.09835999864 0.1266811469
0.0105 0.1295815166 0.1006973594 0.1296037946
0.011 0.1320395234 0.1026889209 0.1320842759
0.0115 0.1340489468 0.1043260268 0.134112957
0.012 0.1356018206 0.1056010385 0.1356812647
0.0125 0.1366911105 0.1065073542 0.1367816705
0.013 0.1373106886 0.1070394272 0.1374076784
0.0135 0.1374553155 0.107192778 0.1375538174
0.014 0.1371206311 0.1069640064 0.1372156403
0.0145 0.1363031547 0.106350798 0.1363897282
0.015 0.1350002958 0.1053519297 0.1350737041
0.0155 0.1332103754 0.1039672713 0.1332662516
0.016 0.1309326578 0.09520403233 0.1309671434
0.0165 0.128167394 0.09865290167 0.1281772756
0.017 0.1249158754 0.09602321239 0.1248987096
0.0175 0.121180497 0.09301534142 0.1211347198
0.018 0.1169648304 0.08963460851 0.116889846
0.0185 0.112273704 0.08588743539 0.1121699495
0.019 0.1071132893 0.08178133527 0.1069822721
0.0195 0.1014911917 0.07732489947 0.1013354937
0.02 0.09541654282 0.07252778149 0.09523979026
0.0205 0.08890009127 0.06740067826 0.08870688652
0.021 0.08195429028 0.06195530892 0.08175010408
0.0215 0.07459337707 0.05620439085 0.07438440097
0.022 0.06683344147 0.05016161325 0.06662640151
0.0225 0.05869247973 0.04384160825 0.05849441403
0.023 0.05019042991 0.03725991954 0.05000843475
0.0235 0.04134918531 0.03043296871 0.04119013609
0.024 0.03219258269 0.02337801928 0.03206283809
0.0245 0.02274636272 0.01611313858 0.0226514618
0.025 0.01303810051 0.008657157431 0.01298246399
0.0255 0.003097105052 0.001029627941 0.003083752932
0.026 -0.007045712501 -0.00674922074 -0.007015414603
0.0265 -0.01735800096 -0.01465852842 -0.0172845545
0.027 -0.02780615947 -0.02267685159 -0.02769209348
0.0275 -0.03835555304 -0.03078221281 -0.03820552275
0.028 -0.04897074888 -0.03895215148 -0.04879156511
0.0285 -0.0596157684 -0.04716377614 -0.05941635313
0.029 -0.07025434905 -0.05539381789 -0.0700456156
0.0295 -0.08085020942 -0.06361868503 -0.08064486927
0.03 -0.0913673112 -0.07181451869 -0.09117961256
0.0305 -0.1017701114 -0.07995724933 -0.1016155179
0.031 -0.1120237985 -0.08802265403 -0.1119186192
0.0315 -0.1220945076 -0.09598641435 -0.1220554914
0.032 -0.1319495095 -0.1038241747 -0.1319934181
0.0325 -0.1415573698 -0.111511601 -0.1417005451
0.033 -0.1508880763 -0.1190244399 -0.151146017
0.0335 -0.159913133 -0.1263385772 -0.1603000938
0.034 -0.1686056202 -0.1334300975 -0.1691342467
0.0345 -0.1769402213 -0.1402753424 -0.1776212308
0.035 -0.1848932192 -0.1468509691 -0.1857351347
0.0355 -0.1924424634 -0.1531340084 -0.1934514058
