t d dw dc
0.052 -0.03386464511 0.03590678656 -0.03386436918
0.0525 -0.034595146 0.03762432674 -0.03459486411
0.053 -0.03521722358 0.03941492683 -0.03521693663
0.0535 -0.0357263127 0.0412813642 -0.03572602159
0.054 -0.03611799809 0.04322630104 -0.0361177038
0.0545 -0.03638802495 0.04525227431 -0.03638772845
0.055 -0.03653230912 0.04736168601 -0.03653201145
0.0555 -0.03654694705 0.04955679371 -0.03654664926
0.056 -0.03642822535 0.05183970137 -0.03642792852
0.0565 -0.03617263002 0.05421235051 -0.03617233528
0.057 -0.03577685531 0.05667651169 -0.03577656379
0.0575 -0.03523781212 0.05923377642 -0.03523752499
0.058 -0.03455263602 0.06188554943 -0.03455235448
0.0585 -0.03371869484 0.06463304137 -0.03371842009
0.059 -0.03273359575 0.06747726195 -0.03273332903
0.0595 -0.03159519189 0.07041901354 -0.03159493444
0.06 -0.03030158849 0.07345888522 -0.03030134158
0.0605 -0.02885114849 0.07659724742 -0.0288509134
0.061 -0.02724249763 0.07983424692 -0.02724227565
0.0615 -0.02547452899 0.08316980252 -0.02547432142
0.062 -0.02354640699 0.08660360114 -0.02354621513
0.0625 -0.02145757081 0.09013509457 -0.02145739597
0.063 -0.01920773725 0.09376349669 -0.01920758075
0.0635 -0.01679690301 0.09748778137 -0.01679676615
0.064 -0.01422534637 0.1013066808 -0.01422523045
0.0645 -0.01149362827 0.1052186846 -0.01149353462
0.065 -0.008602592833 0.1092220394 -0.008602522738
0.0655 -0.005553367222 0.1133147489 -0.005553321972
0.066 -0.002347360928 0.1174945749 -0.002347341801
0.0665 0.001013735546 0.1217590388 0.001013727286
0.067 0.004527952618 0.126105423 0.004527915724
0.0675 0.008193044161 0.1305307744 0.008192977403
0.068 0.01200649063 0.135031907 0.0120063928
0.0685 0.01596550279 0.1396054057 0.0159653727
0.069 0.02006702604 0.1442476311 0.02006686253
0.0695 0.02430774529 0.1489547244 0.02430754723
0.07 0.02868409046 0.1537226125 0.02868385674
0.0705 0.03319224249 0.1585470148 0.03319197203
0.071 0.03782813992 0.1634234493 0.03782783169
0.0715 0.04258748605 0.16834724 0.04258713904
0.072 0.04746575657 0.173313525 0.04746536981
0.0725 0.0524582077 0.1783172643 0.05245778026
0.073 0.05755988488 0.1833532484 0.05755941586
0.0735 0.06276563187 0.1884161082 0.06276512045
0.074 0.0680701004 0.1935003242 0.06806954575
0.0745 0.07346776013 0.1986002364 0.0734671615
0.075 0.07895290915 0.2037100554 0.07895226582
0.0755 0.08446316711 0.208823873 0.08446247889
0.076 0.0899927076 0.2139356734 0.08999197432
0.0765 0.09553575149 0.2190393449 0.09553497304
0.077 0.1010865778 0.224128692 0.1010857542
0.0775 0.1066395346 0.2291974474 0.1066386657
0.078 0.1121890492 0.2342392849 0.1121881351
0.0785 0.1177296386 0.2392478315 0.1177286793
0.079 0.1232559195 0.244216681 0.1232549152
0.0795 0.128762618 0.2491394066 0.1287615688
0.08 0.1342445787 0.2540095747 0.1342434849
0.0805 0.1396967744 0.2588207578 0.1396956362
0.081 0.1451143145 0.2635665484 0.145113132
0.0815 0.1504924531 0.2682405723 0.1504912268
0.082 0.1558265978 0.2728365022 0.1558253281
0.0825 0.1611123166 0.2773480714 0.1611110039
0.083 0.1663453458 0.2817690874 0.1663439904
0.0835 0.1715215963 0.2860934451 0.1715201987
0.084 0.1766371603 0.2903151404 0.176635721
0.0845 0.1816883172 0.2944282833 0.1816868368
0.085 0.1866715393 0.2984271113 0.1866700182
0.0855 0.1915834963 0.302306002 0.1915819353
0.086 0.1964210608 0.3060594858 0.1964194603
0.0865 0.2011813116 0.3096822584 0.2011796723
0.087 0.2058615377 0.3131691933 0.2058598603
0.0875 0.2104592416 0.3165153528 0.2104575267
0.088 0.2149721415 0.3197160004 0.2149703898
0.0885 0.2193981738 0.3227666115 0.2193963861
0.089 0.2237354947 0.325662884 0.2237336717
0.0895 0.2279824814 0.3284007491 0.2279806237
0.09 0.2321377325 0.3309763807 0.232135841
0.0905 0.2362000685 0.3333862052 0.2361981439
0.091 0.2401685311 0.33562691 0.2401665742
0.0915 0.2440423828 0.3376954523 0.2440403943
0.092 0.2478211051 0.3395890669 0.2478190858
0.0925 0.2515043968 0.3413052732 0.2515023475
0.093 0.2550921721 0.3428418822 0.2550900936
0.0935 0.2585845573 0.3441970025 0.2585824503
0.094 0.2619818877 0.3453690462 0.261979753
0.0945 0.2652847041 0.346356733 0.2652825425
0.095 0.2684937485 0.3471590952 0.2684915608
0.0955 0.2716099595 0.347775481 0.2716077464
0.096 0.2746344675 0.3482055574 0.2746322297
0.0965 0.2775685888 0.3484493125 0.2775663271
0.097 0.2804138205 0.3485070571 0.2804115356
0.0975 0.2831718337 0.3483794256 0.2831695264
0.098 0.2858444674 0.3480673758 0.2858421383
0.0985 0.2884337212 0.3475721893 0.288431371
0.099 0.2909417485 0.3468954692 0.2909393778
0.0995 0.2933708484 0.3460391388 0.2933684579
0.1 0.2957234584 0.345005439 0.2957210488
0.1005 0.298002146 0.3437969247 0.2979997178
0.101 0.3002096004 0.342416461 0.3002071542
